;image;treatment;timepoint;batch;plateno;repno;genotype;radius
1;IMG_20230209_173345.jpg;Control;48h;batch2;1;4;sadB;62
2;IMG_20230209_173345.jpg;Control;48h;batch2;1;4;iol;66
3;IMG_20230209_173345.jpg;Control;48h;batch2;1;4;WT;58
4;IMG_20230209_173345.jpg;Control;48h;batch2;1;4;fleQ;14
5;IMG_20230209_174130.jpg;Control;48h;batch2;2;3;iol;53
6;IMG_20230209_174130.jpg;Control;48h;batch2;2;3;sadB;64
7;IMG_20230209_174130.jpg;Control;48h;batch2;2;3;WT;51
8;IMG_20230209_174130.jpg;Control;48h;batch2;2;3;fleQ;14
9;IMG_20230209_174906.jpg;Control;48h;batch2;3;2;iol;47
10;IMG_20230209_174906.jpg;Control;48h;batch2;3;2;sadB;79
11;IMG_20230209_174906.jpg;Control;48h;batch2;3;2;WT;53
12;IMG_20230209_174906.jpg;Control;48h;batch2;3;2;fleQ;14
13;IMG_20230209_175803.jpg;Control;48h;batch2;4;1;iol;46
14;IMG_20230209_175803.jpg;Control;48h;batch2;4;1;sadB;75
15;IMG_20230209_175803.jpg;Control;48h;batch2;4;1;WT;50
16;IMG_20230209_175803.jpg;Control;48h;batch2;4;1;fleQ;14
17;IMG_20230209_173412.jpg;Control;48h;batch3;1;4;iol;42
18;IMG_20230209_173412.jpg;Control;48h;batch3;1;4;sadB;77
19;IMG_20230209_173412.jpg;Control;48h;batch3;1;4;fleQ;14
20;IMG_20230209_173412.jpg;Control;48h;batch3;1;4;WT;31
21;IMG_20230209_174150.jpg;Control;48h;batch3;2;3;iol;56
22;IMG_20230209_174150.jpg;Control;48h;batch3;2;3;sadB;57
23;IMG_20230209_174150.jpg;Control;48h;batch3;2;3;WT;49
24;IMG_20230209_174150.jpg;Control;48h;batch3;2;3;fleQ;14
25;IMG_20230209_174946.jpg;Control;48h;batch3;3;2;iol;59
26;IMG_20230209_174946.jpg;Control;48h;batch3;3;2;WT;47
27;IMG_20230209_174946.jpg;Control;48h;batch3;3;2;sadB;70
28;IMG_20230209_174946.jpg;Control;48h;batch3;3;2;fleQ;11
29;IMG_20230209_175824.jpg;Control;48h;batch3;4;1;iol;42
30;IMG_20230209_175824.jpg;Control;48h;batch3;4;1;sadB;70
31;IMG_20230209_175824.jpg;Control;48h;batch3;4;1;WT;55
32;IMG_20230209_175824.jpg;Control;48h;batch3;4;1;fleQ;14
33;IMG_20230209_173430.jpg;Control;48h;batch4;1;4;iol;49
34;IMG_20230209_173430.jpg;Control;48h;batch4;1;4;sadB;64
35;IMG_20230209_173430.jpg;Control;48h;batch4;1;4;WT;40
36;IMG_20230209_173430.jpg;Control;48h;batch4;1;4;fleQ;14
37;IMG_20230209_174211.jpg;Control;48h;batch4;2;3;iol;53
38;IMG_20230209_174211.jpg;Control;48h;batch4;2;3;WT;47
39;IMG_20230209_174211.jpg;Control;48h;batch4;2;3;sadB;80
40;IMG_20230209_174211.jpg;Control;48h;batch4;2;3;fleQ;14
41;IMG_20230209_175011.jpg;Control;48h;batch4;3;2;iol;40
42;IMG_20230209_175011.jpg;Control;48h;batch4;3;2;sadB;69
43;IMG_20230209_175011.jpg;Control;48h;batch4;3;2;WT;68
44;IMG_20230209_175011.jpg;Control;48h;batch4;3;2;fleQ;13
45;IMG_20230209_175846.jpg;Control;48h;batch4;4;1;WT;29
46;IMG_20230209_175846.jpg;Control;48h;batch4;4;1;iol;55
47;IMG_20230209_175846.jpg;Control;48h;batch4;4;1;fleQ;10
48;IMG_20230209_175846.jpg;Control;48h;batch4;4;1;sadB;75
49;IMG_20230209_173452.jpg;Control;48h;batch5;1;4;iol;39
50;IMG_20230209_173452.jpg;Control;48h;batch5;1;4;sadB;63
51;IMG_20230209_173452.jpg;Control;48h;batch5;1;4;WT;39
52;IMG_20230209_173452.jpg;Control;48h;batch5;1;4;fleQ;14
53;IMG_20230209_174233.jpg;Control;48h;batch5;2;3;iol;40
54;IMG_20230209_174233.jpg;Control;48h;batch5;2;3;sadB;67
55;IMG_20230209_174233.jpg;Control;48h;batch5;2;3;WT;36
56;IMG_20230209_174233.jpg;Control;48h;batch5;2;3;fleQ;10
57;IMG_20230209_175038.jpg;Control;48h;batch5;3;2;sadB;52
58;IMG_20230209_175038.jpg;Control;48h;batch5;3;2;iol;59
59;IMG_20230209_175038.jpg;Control;48h;batch5;3;2;WT;57
60;IMG_20230209_175038.jpg;Control;48h;batch5;3;2;fleQ;11
61;IMG_20230209_175906.jpg;Control;48h;batch5;4;1;iol;50
62;IMG_20230209_175906.jpg;Control;48h;batch5;4;1;sadB;56
63;IMG_20230209_175906.jpg;Control;48h;batch5;4;1;WT;65
64;IMG_20230209_175906.jpg;Control;48h;batch5;4;1;fleQ;14
65;IMG_20230210_104305.jpg;Control;65h;batch2;1;4;sadB;90
66;IMG_20230210_104305.jpg;Control;65h;batch2;1;4;fleQ;14
67;IMG_20230210_104305.jpg;Control;65h;batch2;1;4;iol;95
68;IMG_20230210_104305.jpg;Control;65h;batch2;1;4;WT;91
69;IMG_20230210_105002.jpg;Control;65h;batch2;2;3;fleQ;8
70;IMG_20230210_105002.jpg;Control;65h;batch2;2;3;sadB;89
71;IMG_20230210_105002.jpg;Control;65h;batch2;2;3;iol;89
72;IMG_20230210_105002.jpg;Control;65h;batch2;2;3;WT;88
73;IMG_20230210_105659.jpg;Control;65h;batch2;3;2;sadB;98
74;IMG_20230210_105659.jpg;Control;65h;batch2;3;2;iol;72
75;IMG_20230210_105659.jpg;Control;65h;batch2;3;2;WT;78
76;IMG_20230210_105659.jpg;Control;65h;batch2;3;2;fleQ;14
77;IMG_20230210_111543.jpg;Control;65h;batch2;4;1;fleQ;12
78;IMG_20230210_111543.jpg;Control;65h;batch2;4;1;iol;62
79;IMG_20230210_111543.jpg;Control;65h;batch2;4;1;sadB;102
80;IMG_20230210_111543.jpg;Control;65h;batch2;4;1;WT;63
81;IMG_20230210_104458.jpg;Control;65h;batch3;1;4;fleQ;10
82;IMG_20230210_104458.jpg;Control;65h;batch3;1;4;iol;66
83;IMG_20230210_104458.jpg;Control;65h;batch3;1;4;WT;44
84;IMG_20230210_104458.jpg;Control;65h;batch3;1;4;sadB;110
85;IMG_20230210_105140.jpg;Control;65h;batch3;2;3;sadB;80
86;IMG_20230210_105140.jpg;Control;65h;batch3;2;3;iol;92
87;IMG_20230210_105140.jpg;Control;65h;batch3;2;3;WT;80
88;IMG_20230210_105140.jpg;Control;65h;batch3;2;3;fleQ;13
89;IMG_20230210_111020.jpg;Control;65h;batch3;3;2;sadB;107
90;IMG_20230210_111020.jpg;Control;65h;batch3;3;2;iol;94
91;IMG_20230210_111020.jpg;Control;65h;batch3;3;2;WT;75
92;IMG_20230210_111020.jpg;Control;65h;batch3;3;2;fleQ;14
93;IMG_20230210_111721.jpg;Control;65h;batch3;4;1;iol;61
94;IMG_20230210_111721.jpg;Control;65h;batch3;4;1;sadB;94
95;IMG_20230210_111721.jpg;Control;65h;batch3;4;1;WT;74
96;IMG_20230210_111721.jpg;Control;65h;batch3;4;1;fleQ;12
97;IMG_20230210_104630.jpg;Control;65h;batch4;1;4;sadB;92
98;IMG_20230210_104630.jpg;Control;65h;batch4;1;4;iol;75
99;IMG_20230210_104630.jpg;Control;65h;batch4;1;4;WT;64
100;IMG_20230210_104630.jpg;Control;65h;batch4;1;4;fleQ;14
101;IMG_20230210_105320.jpg;Control;65h;batch4;2;3;fleQ;13
102;IMG_20230210_105320.jpg;Control;65h;batch4;2;3;sadB;110
103;IMG_20230210_105320.jpg;Control;65h;batch4;2;3;iol;84
104;IMG_20230210_105320.jpg;Control;65h;batch4;2;3;WT;73
105;IMG_20230210_111210.jpg;Control;65h;batch4;3;2;iol;59
106;IMG_20230210_111210.jpg;Control;65h;batch4;3;2;sadB;100
107;IMG_20230210_111210.jpg;Control;65h;batch4;3;2;fleQ;11
108;IMG_20230210_111210.jpg;Control;65h;batch4;3;2;WT;107
109;IMG_20230210_111908.jpg;Control;65h;batch4;4;1;WT;44
110;IMG_20230210_111908.jpg;Control;65h;batch4;4;1;sadB;82
111;IMG_20230210_111908.jpg;Control;65h;batch4;4;1;iol;84
112;IMG_20230210_111908.jpg;Control;65h;batch4;4;1;fleQ;12
113;IMG_20230210_104808.jpg;Control;65h;batch5;1;4;fleQ;14
114;IMG_20230210_104808.jpg;Control;65h;batch5;1;4;iol;64
115;IMG_20230210_104808.jpg;Control;65h;batch5;1;4;sadB;94
116;IMG_20230210_104808.jpg;Control;65h;batch5;1;4;WT;61
117;IMG_20230210_105504.jpg;Control;65h;batch5;2;3;iol;67
118;IMG_20230210_105504.jpg;Control;65h;batch5;2;3;fleQ;14
119;IMG_20230210_105504.jpg;Control;65h;batch5;2;3;sadB;98
120;IMG_20230210_105504.jpg;Control;65h;batch5;2;3;WT;57
121;IMG_20230210_111401.jpg;Control;65h;batch5;3;2;sadB;72
122;IMG_20230210_111401.jpg;Control;65h;batch5;3;2;iol;84
123;IMG_20230210_111401.jpg;Control;65h;batch5;3;2;WT;92
124;IMG_20230210_111401.jpg;Control;65h;batch5;3;2;fleQ;10
125;IMG_20230210_112042.jpg;Control;65h;batch5;4;1;sadB;81
126;IMG_20230210_112042.jpg;Control;65h;batch5;4;1;iol;81
127;IMG_20230210_112042.jpg;Control;65h;batch5;4;1;WT;96
128;IMG_20230210_112042.jpg;Control;65h;batch5;4;1;fleQ;14
129;IMG_20230210_151008.jpg;Control;70h;batch2;1;4;fleQ;13
130;IMG_20230210_151008.jpg;Control;70h;batch2;1;4;sadB;97
131;IMG_20230210_151008.jpg;Control;70h;batch2;1;4;iol;105
132;IMG_20230210_151008.jpg;Control;70h;batch2;1;4;WT;96
133;IMG_20230210_151623.jpg;Control;70h;batch2;2;3;fleQ;9
134;IMG_20230210_151623.jpg;Control;70h;batch2;2;3;iol;98
135;IMG_20230210_151623.jpg;Control;70h;batch2;2;3;sadB;103
136;IMG_20230210_151623.jpg;Control;70h;batch2;2;3;WT;100
137;IMG_20230210_152228.jpg;Control;70h;batch2;3;2;fleQ;14
138;IMG_20230210_152228.jpg;Control;70h;batch2;3;2;iol;78
139;IMG_20230210_152228.jpg;Control;70h;batch2;3;2;WT;86
140;IMG_20230210_152228.jpg;Control;70h;batch2;3;2;sadB;103
141;IMG_20230210_152827.jpg;Control;70h;batch2;4;1;fleQ;13
142;IMG_20230210_152827.jpg;Control;70h;batch2;4;1;iol;65
143;IMG_20230210_152827.jpg;Control;70h;batch2;4;1;WT;68
144;IMG_20230210_152827.jpg;Control;70h;batch2;4;1;sadB;105
145;IMG_20230210_151146.jpg;Control;70h;batch3;1;4;fleQ;11
146;IMG_20230210_151146.jpg;Control;70h;batch3;1;4;iol;73
147;IMG_20230210_151146.jpg;Control;70h;batch3;1;4;WT;48
148;IMG_20230210_151146.jpg;Control;70h;batch3;1;4;sadB;111
149;IMG_20230210_151753.jpg;Control;70h;batch3;2;3;sadB;84
150;IMG_20230210_151753.jpg;Control;70h;batch3;2;3;iol;96
151;IMG_20230210_151753.jpg;Control;70h;batch3;2;3;WT;83
152;IMG_20230210_151753.jpg;Control;70h;batch3;2;3;fleQ;12
153;IMG_20230210_152356.jpg;Control;70h;batch3;3;2;WT;80
154;IMG_20230210_152356.jpg;Control;70h;batch3;3;2;fleQ;14
155;IMG_20230210_152356.jpg;Control;70h;batch3;3;2;sadB;120
156;IMG_20230210_152356.jpg;Control;70h;batch3;3;2;iol;102
157;IMG_20230210_152948.jpg;Control;70h;batch3;4;1;iol;64
158;IMG_20230210_152948.jpg;Control;70h;batch3;4;1;WT;80
159;IMG_20230210_152948.jpg;Control;70h;batch3;4;1;sadB;100
160;IMG_20230210_152948.jpg;Control;70h;batch3;4;1;fleQ;10
161;IMG_20230210_151313.jpg;Control;70h;batch4;1;4;iol;81
162;IMG_20230210_151313.jpg;Control;70h;batch4;1;4;WT;69
163;IMG_20230210_151313.jpg;Control;70h;batch4;1;4;sadB;99
164;IMG_20230210_151313.jpg;Control;70h;batch4;1;4;fleQ;11
165;IMG_20230210_151926.jpg;Control;70h;batch4;2;3;fleQ;13
166;IMG_20230210_151926.jpg;Control;70h;batch4;2;3;iol;89
167;IMG_20230210_151926.jpg;Control;70h;batch4;2;3;sadB;113
168;IMG_20230210_151926.jpg;Control;70h;batch4;2;3;WT;84
169;IMG_20230210_152526.jpg;Control;70h;batch4;3;2;fleQ;11
170;IMG_20230210_152526.jpg;Control;70h;batch4;3;2;iol;64
171;IMG_20230210_152526.jpg;Control;70h;batch4;3;2;sadB;107
172;IMG_20230210_152526.jpg;Control;70h;batch4;3;2;WT;116
173;IMG_20230210_153114.jpg;Control;70h;batch4;4;1;fleQ;14
174;IMG_20230210_153114.jpg;Control;70h;batch4;4;1;WT;47
175;IMG_20230210_153114.jpg;Control;70h;batch4;4;1;iol;100
176;IMG_20230210_153114.jpg;Control;70h;batch4;4;1;sadB;115
177;IMG_20230210_151449.jpg;Control;70h;batch5;1;4;fleQ;13
178;IMG_20230210_151449.jpg;Control;70h;batch5;1;4;iol;69
179;IMG_20230210_151449.jpg;Control;70h;batch5;1;4;WT;66
180;IMG_20230210_151449.jpg;Control;70h;batch5;1;4;sadB;120
181;IMG_20230210_152055.jpg;Control;70h;batch5;2;3;fleQ;14
182;IMG_20230210_152055.jpg;Control;70h;batch5;2;3;iol;76
183;IMG_20230210_152055.jpg;Control;70h;batch5;2;3;WT;63
184;IMG_20230210_152055.jpg;Control;70h;batch5;2;3;sadB;111
185;IMG_20230210_152650.jpg;Control;70h;batch5;3;2;sadB;78
186;IMG_20230210_152650.jpg;Control;70h;batch5;3;2;iol;90
187;IMG_20230210_152650.jpg;Control;70h;batch5;3;2;WT;97
188;IMG_20230210_152650.jpg;Control;70h;batch5;3;2;fleQ;13
189;IMG_20230210_153238.jpg;Control;70h;batch5;4;1;fleQ;11
190;IMG_20230210_153238.jpg;Control;70h;batch5;4;1;WT;110
191;IMG_20230210_153238.jpg;Control;70h;batch5;4;1;iol;87
192;IMG_20230210_153238.jpg;Control;70h;batch5;4;1;sadB;85
193;IMG_20230209_173014.jpg;Glc1;48h;batch2;1;4;iol;57
194;IMG_20230209_173014.jpg;Glc1;48h;batch2;1;4;sadB;70
195;IMG_20230209_173014.jpg;Glc1;48h;batch2;1;4;WT;45
196;IMG_20230209_173014.jpg;Glc1;48h;batch2;1;4;fleQ;10
197;IMG_20230209_173803.jpg;Glc1;48h;batch2;2;3;iol;27
198;IMG_20230209_173803.jpg;Glc1;48h;batch2;2;3;WT;9
199;IMG_20230209_173803.jpg;Glc1;48h;batch2;2;3;sadB;63
200;IMG_20230209_173803.jpg;Glc1;48h;batch2;2;3;fleQ;14
201;IMG_20230209_174627.jpg;Glc1;48h;batch2;3;2;iol;54
202;IMG_20230209_174627.jpg;Glc1;48h;batch2;3;2;sadB;58
203;IMG_20230209_174627.jpg;Glc1;48h;batch2;3;2;WT;44
204;IMG_20230209_174627.jpg;Glc1;48h;batch2;3;2;fleQ;11
205;IMG_20230209_175414.jpg;Glc1;48h;batch2;4;1;iol;60
206;IMG_20230209_175414.jpg;Glc1;48h;batch2;4;1;sadB;62
207;IMG_20230209_175414.jpg;Glc1;48h;batch2;4;1;WT;52
208;IMG_20230209_175414.jpg;Glc1;48h;batch2;4;1;fleQ;10
209;IMG_20230209_173040.jpg;Glc1;48h;batch3;1;4;sadB;62
210;IMG_20230209_173040.jpg;Glc1;48h;batch3;1;4;iol;55
211;IMG_20230209_173040.jpg;Glc1;48h;batch3;1;4;WT;45
212;IMG_20230209_173040.jpg;Glc1;48h;batch3;1;4;fleQ;11
213;IMG_20230209_173827.jpg;Glc1;48h;batch3;2;3;sadB;34
214;IMG_20230209_173827.jpg;Glc1;48h;batch3;2;3;iol;45
215;IMG_20230209_173827.jpg;Glc1;48h;batch3;2;3;WT;44
216;IMG_20230209_173827.jpg;Glc1;48h;batch3;2;3;fleQ;11
217;IMG_20230209_174646.jpg;Glc1;48h;batch3;3;2;sadB;49
218;IMG_20230209_174646.jpg;Glc1;48h;batch3;3;2;iol;62
219;IMG_20230209_174646.jpg;Glc1;48h;batch3;3;2;WT;44
220;IMG_20230209_174646.jpg;Glc1;48h;batch3;3;2;fleQ;3
221;IMG_20230209_175435.jpg;Glc1;48h;batch3;4;1;iol;46
222;IMG_20230209_175435.jpg;Glc1;48h;batch3;4;1;sadB;59
223;IMG_20230209_175435.jpg;Glc1;48h;batch3;4;1;WT;44
224;IMG_20230209_175435.jpg;Glc1;48h;batch3;4;1;fleQ;14
225;IMG_20230209_173112.jpg;Glc1;48h;batch4;1;4;iol;34
226;IMG_20230209_173112.jpg;Glc1;48h;batch4;1;4;sadB;52
227;IMG_20230209_173112.jpg;Glc1;48h;batch4;1;4;WT;45
228;IMG_20230209_173112.jpg;Glc1;48h;batch4;1;4;fleQ;7
229;IMG_20230209_173850.jpg;Glc1;48h;batch4;2;3;iol;43
230;IMG_20230209_173850.jpg;Glc1;48h;batch4;2;3;sadB;47
231;IMG_20230209_173850.jpg;Glc1;48h;batch4;2;3;WT;44
232;IMG_20230209_173850.jpg;Glc1;48h;batch4;2;3;fleQ;11
233;IMG_20230209_174704.jpg;Glc1;48h;batch4;3;2;sadB;61
234;IMG_20230209_174704.jpg;Glc1;48h;batch4;3;2;iol;42
235;IMG_20230209_174704.jpg;Glc1;48h;batch4;3;2;WT;51
236;IMG_20230209_174704.jpg;Glc1;48h;batch4;3;2;fleQ;7
237;IMG_20230209_175502.jpg;Glc1;48h;batch4;4;1;iol;34
238;IMG_20230209_175502.jpg;Glc1;48h;batch4;4;1;sadB;53
239;IMG_20230209_175502.jpg;Glc1;48h;batch4;4;1;WT;54
240;IMG_20230209_175502.jpg;Glc1;48h;batch4;4;1;fleQ;14
241;IMG_20230209_173134.jpg;Glc1;48h;batch5;1;4;iol;32
242;IMG_20230209_173134.jpg;Glc1;48h;batch5;1;4;WT;24
243;IMG_20230209_173134.jpg;Glc1;48h;batch5;1;4;sadB;53
244;IMG_20230209_173134.jpg;Glc1;48h;batch5;1;4;fleQ;13
245;IMG_20230209_173911.jpg;Glc1;48h;batch5;2;3;sadB;42
246;IMG_20230209_173911.jpg;Glc1;48h;batch5;2;3;iol;44
247;IMG_20230209_173911.jpg;Glc1;48h;batch5;2;3;WT;40
248;IMG_20230209_173911.jpg;Glc1;48h;batch5;2;3;fleQ;10
249;IMG_20230209_174723.jpg;Glc1;48h;batch5;3;2;sadB;62
250;IMG_20230209_174723.jpg;Glc1;48h;batch5;3;2;WT;44
251;IMG_20230209_174723.jpg;Glc1;48h;batch5;3;2;iol;41
252;IMG_20230209_174723.jpg;Glc1;48h;batch5;3;2;fleQ;10
253;IMG_20230209_175531.jpg;Glc1;48h;batch5;4;1;iol;35
254;IMG_20230209_175531.jpg;Glc1;48h;batch5;4;1;sadB;52
255;IMG_20230209_175531.jpg;Glc1;48h;batch5;4;1;WT;55
256;IMG_20230209_175531.jpg;Glc1;48h;batch5;4;1;fleQ;11
257;IMG_20230210_104328.jpg;Glc1;65h;batch2;1;4;iol;83
258;IMG_20230210_104328.jpg;Glc1;65h;batch2;1;4;sadB;98
259;IMG_20230210_104328.jpg;Glc1;65h;batch2;1;4;fleQ;14
260;IMG_20230210_104328.jpg;Glc1;65h;batch2;1;4;WT;72
261;IMG_20230210_105020.jpg;Glc1;65h;batch2;2;3;iol;36
262;IMG_20230210_105020.jpg;Glc1;65h;batch2;2;3;WT;11
263;IMG_20230210_105020.jpg;Glc1;65h;batch2;2;3;sadB;88
264;IMG_20230210_105020.jpg;Glc1;65h;batch2;2;3;fleQ;10
265;IMG_20230210_105721.jpg;Glc1;65h;batch2;3;2;iol;78
266;IMG_20230210_105721.jpg;Glc1;65h;batch2;3;2;sadB;83
267;IMG_20230210_105721.jpg;Glc1;65h;batch2;3;2;fleQ;13
268;IMG_20230210_105721.jpg;Glc1;65h;batch2;3;2;WT;66
269;IMG_20230210_111602.jpg;Glc1;65h;batch2;4;1;sadB;90
270;IMG_20230210_111602.jpg;Glc1;65h;batch2;4;1;iol;90
271;IMG_20230210_111602.jpg;Glc1;65h;batch2;4;1;WT;78
272;IMG_20230210_111602.jpg;Glc1;65h;batch2;4;1;fleQ;14
273;IMG_20230210_104515.jpg;Glc1;65h;batch3;1;4;sadB;91
274;IMG_20230210_104515.jpg;Glc1;65h;batch3;1;4;iol;80
275;IMG_20230210_104515.jpg;Glc1;65h;batch3;1;4;WT;68
276;IMG_20230210_104515.jpg;Glc1;65h;batch3;1;4;fleQ;10
277;IMG_20230210_105158.jpg;Glc1;65h;batch3;2;3;sadB;46
278;IMG_20230210_105158.jpg;Glc1;65h;batch3;2;3;iol;63
279;IMG_20230210_105158.jpg;Glc1;65h;batch3;2;3;WT;65
280;IMG_20230210_105158.jpg;Glc1;65h;batch3;2;3;fleQ;13
281;IMG_20230210_111047.jpg;Glc1;65h;batch3;3;2;sadB;56
282;IMG_20230210_111047.jpg;Glc1;65h;batch3;3;2;iol;82
283;IMG_20230210_111047.jpg;Glc1;65h;batch3;3;2;fleQ;8
284;IMG_20230210_111047.jpg;Glc1;65h;batch3;3;2;WT;70
285;IMG_20230210_111740.jpg;Glc1;65h;batch3;4;1;sadB;83
286;IMG_20230210_111740.jpg;Glc1;65h;batch3;4;1;iol;59
287;IMG_20230210_111740.jpg;Glc1;65h;batch3;4;1;WT;65
288;IMG_20230210_111740.jpg;Glc1;65h;batch3;4;1;fleQ;14
289;IMG_20230210_104650.jpg;Glc1;65h;batch4;1;4;sadB;63
290;IMG_20230210_104650.jpg;Glc1;65h;batch4;1;4;fleQ;9
291;IMG_20230210_104650.jpg;Glc1;65h;batch4;1;4;iol;65
292;IMG_20230210_104650.jpg;Glc1;65h;batch4;1;4;WT;70
293;IMG_20230210_105337.jpg;Glc1;65h;batch4;2;3;iol;64
294;IMG_20230210_105337.jpg;Glc1;65h;batch4;2;3;sadB;73
295;IMG_20230210_105337.jpg;Glc1;65h;batch4;2;3;WT;63
296;IMG_20230210_105337.jpg;Glc1;65h;batch4;2;3;fleQ;13
297;IMG_20230210_111232.jpg;Glc1;65h;batch4;3;2;sadB;84
298;IMG_20230210_111232.jpg;Glc1;65h;batch4;3;2;iol;73
299;IMG_20230210_111232.jpg;Glc1;65h;batch4;3;2;WT;72
300;IMG_20230210_111232.jpg;Glc1;65h;batch4;3;2;fleQ;13
301;IMG_20230210_111927.jpg;Glc1;65h;batch4;4;1;sadB;78
302;IMG_20230210_111927.jpg;Glc1;65h;batch4;4;1;iol;61
303;IMG_20230210_111927.jpg;Glc1;65h;batch4;4;1;WT;79
304;IMG_20230210_111927.jpg;Glc1;65h;batch4;4;1;fleQ;14
305;IMG_20230210_104828.jpg;Glc1;65h;batch5;1;4;iol;44
306;IMG_20230210_104828.jpg;Glc1;65h;batch5;1;4;sadB;78
307;IMG_20230210_104828.jpg;Glc1;65h;batch5;1;4;fleQ;14
308;IMG_20230210_104828.jpg;Glc1;65h;batch5;1;4;WT;31
309;IMG_20230210_105525.jpg;Glc1;65h;batch5;2;3;sadB;40
310;IMG_20230210_105525.jpg;Glc1;65h;batch5;2;3;iol;63
311;IMG_20230210_105525.jpg;Glc1;65h;batch5;2;3;WT;63
312;IMG_20230210_111424.jpg;Glc1;65h;batch5;3;2;sadB;88
313;IMG_20230210_111424.jpg;Glc1;65h;batch5;3;2;iol;46
314;IMG_20230210_111424.jpg;Glc1;65h;batch5;3;2;fleQ;14
315;IMG_20230210_111424.jpg;Glc1;65h;batch5;3;2;WT;66
316;IMG_20230210_112101.jpg;Glc1;65h;batch5;4;1;sadB;76
317;IMG_20230210_112101.jpg;Glc1;65h;batch5;4;1;iol;58
318;IMG_20230210_112101.jpg;Glc1;65h;batch5;4;1;WT;82
319;IMG_20230210_112101.jpg;Glc1;65h;batch5;4;1;fleQ;13
320;IMG_20230210_151026.jpg;Glc1;70h;batch2;1;4;iol;89
321;IMG_20230210_151026.jpg;Glc1;70h;batch2;1;4;sadB;108
322;IMG_20230210_151026.jpg;Glc1;70h;batch2;1;4;WT;79
323;IMG_20230210_151026.jpg;Glc1;70h;batch2;1;4;fleQ;10
324;IMG_20230210_151640.jpg;Glc1;70h;batch2;2;3;iol;42
325;IMG_20230210_151640.jpg;Glc1;70h;batch2;2;3;WT;13
326;IMG_20230210_151640.jpg;Glc1;70h;batch2;2;3;sadB;97
327;IMG_20230210_151640.jpg;Glc1;70h;batch2;2;3;fleQ;14
328;IMG_20230210_152244.jpg;Glc1;70h;batch2;3;2;WT;71
329;IMG_20230210_152244.jpg;Glc1;70h;batch2;3;2;fleQ;14
330;IMG_20230210_152244.jpg;Glc1;70h;batch2;3;2;iol;82
331;IMG_20230210_152244.jpg;Glc1;70h;batch2;3;2;sadB;87
332;IMG_20230210_152843.jpg;Glc1;70h;batch2;4;1;fleQ;14
333;IMG_20230210_152843.jpg;Glc1;70h;batch2;4;1;WT;81
334;IMG_20230210_152843.jpg;Glc1;70h;batch2;4;1;sadB;96
335;IMG_20230210_152843.jpg;Glc1;70h;batch2;4;1;iol;99
336;IMG_20230210_151202.jpg;Glc1;70h;batch3;1;4;iol;86
337;IMG_20230210_151202.jpg;Glc1;70h;batch3;1;4;sadB;98
338;IMG_20230210_151202.jpg;Glc1;70h;batch3;1;4;WT;75
339;IMG_20230210_151202.jpg;Glc1;70h;batch3;1;4;fleQ;14
340;IMG_20230210_151811.jpg;Glc1;70h;batch3;2;3;sadB;47
341;IMG_20230210_151811.jpg;Glc1;70h;batch3;2;3;iol;66
342;IMG_20230210_151811.jpg;Glc1;70h;batch3;2;3;fleQ;10
343;IMG_20230210_151811.jpg;Glc1;70h;batch3;2;3;WT;69
344;IMG_20230210_152413.jpg;Glc1;70h;batch3;3;2;sadB;58
345;IMG_20230210_152413.jpg;Glc1;70h;batch3;3;2;WT;75
346;IMG_20230210_152413.jpg;Glc1;70h;batch3;3;2;iol;87
347;IMG_20230210_152413.jpg;Glc1;70h;batch3;3;2;fleQ;13
348;IMG_20230210_153006.jpg;Glc1;70h;batch3;4;1;WT;71
349;IMG_20230210_153006.jpg;Glc1;70h;batch3;4;1;iol;69
350;IMG_20230210_153006.jpg;Glc1;70h;batch3;4;1;sadB;92
351;IMG_20230210_153006.jpg;Glc1;70h;batch3;4;1;fleQ;14
352;IMG_20230210_151329.jpg;Glc1;70h;batch4;1;4;sadB;59
353;IMG_20230210_151329.jpg;Glc1;70h;batch4;1;4;fleQ;11
354;IMG_20230210_151329.jpg;Glc1;70h;batch4;1;4;iol;48
355;IMG_20230210_151329.jpg;Glc1;70h;batch4;1;4;WT;74
356;IMG_20230210_151943.jpg;Glc1;70h;batch4;2;3;sadB;77
357;IMG_20230210_151943.jpg;Glc1;70h;batch4;2;3;WT;70
358;IMG_20230210_151943.jpg;Glc1;70h;batch4;2;3;iol;70
359;IMG_20230210_151943.jpg;Glc1;70h;batch4;2;3;fleQ;14
360;IMG_20230210_152544.jpg;Glc1;70h;batch4;3;2;iol;59
361;IMG_20230210_152544.jpg;Glc1;70h;batch4;3;2;WT;74
362;IMG_20230210_152544.jpg;Glc1;70h;batch4;3;2;sadB;91
363;IMG_20230210_152544.jpg;Glc1;70h;batch4;3;2;fleQ;10
364;IMG_20230210_153130.jpg;Glc1;70h;batch4;4;1;WT;87
365;IMG_20230210_153130.jpg;Glc1;70h;batch4;4;1;sadB;83
366;IMG_20230210_153130.jpg;Glc1;70h;batch4;4;1;fleQ;10
367;IMG_20230210_153130.jpg;Glc1;70h;batch4;4;1;iol;66
368;IMG_20230210_151506.jpg;Glc1;70h;batch5;1;4;fleQ;13
369;IMG_20230210_151506.jpg;Glc1;70h;batch5;1;4;sadB;84
370;IMG_20230210_151506.jpg;Glc1;70h;batch5;1;4;iol;45
